"type","value","source"
"url","https://docs.dagster.io","public"
"url","https://temptransfer.live/SkwkUTIoFTrXYRMd","public"
"domain","docs.dagster.io","TA"
"domain","colourtinctem.com","TA"
"domain","materialplies.com  ","public"
"domain","solveblemten.com","TA"
"domain","dateupdata.com","TA"
"domain","infraredsen.com","TA"
"domain","pulseathermakf.com","TA"
"domain","colourtinctem.com","TA"
"url","http://micsrosoftonline.com/cdn-cgi/styles/main.css","TA"
"url","https://okta.micsrosoftonline.com","TA"
"url",https://dube.sh,"TA"
"url","4ufbghkgmeb7nevhki3vf5rfwmmrb4bb52xcw2qwbh3qo4x773ttnhqd.onion","TA"
"url","42dtw6kxl5zxfpo25yknm2hmqndafoqynk3m6j2luvhi4epeex6arvyd.onion","TA"
"domain","onepass-word.com","public"
"domain","lastpassdesktop.com","public"
"ip","172.67.147.36","public"
"domain","lastpassdesktop.app","public"
"ip","172.67.219.2","public"
"domain","lastpassgazette.blog","public"
"domain","due.sh","public"
"ip","84.32.84.32","public"
"domain","lastpasspulse.blog","public"
"ip","13.229.126.203","public"
"ip","13.229.231.0","public"
"ip","13.250.97.171","public"
"ip","146.70.113.100","public"
"ip","146.70.113.107","public"
"ip","146.70.113.108","public"
"ip","146.70.113.126","public"
"ip","146.70.14.19","public"
"ip","146.70.14.29","public"
"ip","159.26.115.109","public"
"ip","159.26.115.11","public"
"ip","159.26.115.129","public"
"ip","159.26.115.14","public"
"ip","159.26.115.160","public"
"ip","159.26.115.22","public"
"ip","159.26.115.30","public"
"ip","159.26.115.55","public"
"ip","159.26.115.63","public"
"ip","159.26.115.69","public"
"ip","159.26.115.75","public"
"ip","159.26.115.83","public"
"ip","159.26.115.89","public"
"ip","159.26.119.132","public"
"ip","2602:2b5:10:0:0:0:0:1a4","public"
"ip","3.1.83.60","public"
"ip","3.88.139.150","public"
"ip","45.87.213.214","public"
"ip","45.87.213.219","public"
"ip","47.107.69.220","public"
"ip","61.4.97.157","public"
"domain","x44xfqf.onmicrosoft.com","Attacker Tenant Domain"
"domain","woodedlif.onmicrosoft.com","Attacker Tenant Domain"
"domain","xeyi1ba.onmicrosoft.com","Attacker Tenant Domain"
"domain","x44xfgf.onmicrosoft.com","Attacker Tenant Domain"
"url","http://oncameraworkout.com/ksbo","public"
"domain","low-house.com","public"
"url","http://2fa-bns.com","public"
"domain","asj77.com","public"
"domain","asj88.com","public"
"domain","asj99.com","public"
"ip","194.169.163.140","public"
"ip","193.221.200.233","public"
"ip","13.223.25.84","public"
"domain","wmk77.com","public"
"domain","8eh18dhq9wd.click","public"
"hash_sha256","cd3604fb9fe210261de11921ff1bea0a7bf948ad477d063e17863cede1fadc41","Ps1.ps1"
"hash_sha256","13b25ae54f3a28f6d01be29bee045e1842b1ebb6fd8d6aca23783791a461d9dd","payload_1.ps1"
"hash_sha256","9fac0304cfa56ca5232f61034a796d99b921ba8405166743a5d1b447a7389e4f",".ps1"
"hash_sha256","cd3604fb9fe210261de11921ff1bea0a7bf948ad477d063e17863cede1fadc41","v.proj"
"hash_sha256","9fc15d50a3df0ac7fb043e098b890d9201c3bb56a592f168a3a89e7581bc7a7d","v.proj.ps1"
"hash_sha256","bf374d8e2a37ff28b4dc9338b45bbf396b8bf088449d05f00aba3c39c54a3731","Stub.exe/Staxs.exe/tydb7.exe"
"hash_sha256","11c1cfce546980287e7d3440033191844b5e5e321052d685f4c9ee49937fa688","Stub.exe"
"hash_sha256","07845fcc83f3b490b9f6b80cb8ebde0be46507395d6cbad8bc57857762f7213a","Stub.exe"
"hash_sha256","08037de4a729634fa818ddf03ddd27c28c89f42158af5ede71cf0ae2d78fa198","Stub.exe"
"hash_sha256","2f3d0c15f1c90c5e004377293eaac02d441eb18b59a944b2f2b6201bb36f0d63","Stub.exe"
"hash_sha256","33f0672159bb8f89a809b1628a6cc7dddae7037a288785cff32d9a7b24e86f4b","Stub.exe"
"hash_sha256","6bd31dfd36ce82e588f37a9ad233c022e0a87b132dc01b93ebbab05b57e5defd","Stub.exe"
"hash_sha256","1f520651958ae1ec9ee788eefe49b9b143630c340dbecd5e9abf56080d2649de","Stub.exe"
"hash_sha256","9c891e9dc6fece95b44bb64123f89ddeab7c5efc95bf071fb4457996050f10a0","DeleteApp.url"
"hash_sha256","e68a69c93bf149778c4c05a3acb779999bc6d5bcd3d661bfd6656285f928c18e","Wwigu.exe"
"hash_sha256","18c75d6f034a1ed389f22883a0007805c7e93af9e43852282aa0c6d5dafaa970","Wwigu.exe"
"hash_sha256","91696f9b909c479be23440a9e4072dd8c11716f2ad3241607b542b202ab831ce","Lbpyjxefa.dll"
"hash_sha256","a511be5164dc1122fb5a7daa3eef9467e43d8458425b15a640235796006590c9","Malicious NSIS Installer used for initial payload delivery (update.exe)"
"hash_sha256","8ea8b83645fba6e23d48075a0d3fc73ad2ba515b4536710cda4f1f232718f53e","Extracted NSIS installation script ([NSIS.nsi])"
"hash_sha256","2da00de67720f5f13b17e9d985fe70f10f153da60c9ab1086fe58f069a156924","Renamed Bitdefender Submission Wizard abused for sideloading (BluetoothService.exe)"
"hash_sha256","77bfea78def679aa1117f569a35e8fd1542df21f7e00e27f192c907e61d63a2e","Encrypted shellcode file (BluetoothService)"
"hash_sha256","3bdc4c0637591533f1d4198a72a33426c01f69bd2e15ceee547866f65e26b7ad","Malicious DLL sideloaded (log.dll)"
"hash_sha256","9276594e73cda1c69b7d265b3f08dc8fa84bf2d6599086b9acc0bb3745146600","Cleanup batch file (u.bat)"
"hash_sha256","f4d829739f2d6ba7e3ede83dad428a0ced1a703ec582fc73a4eee3df3704629a","Shellcode source file (conf.c)"
"hash_sha256","4a52570eeaf9d27722377865df312e295a7a23c3b6eb991944c2ecd707cc9906","Tiny C Compiler library (libtcc.dll)"
"hash_sha256","831e1ea13a1bd405f5bda2b9d8f2265f7b1db6c668dd2165ccc8a9c4c15ea7dd","File from api.wiresguard.com (admin)"
"hash_sha256","0a9b8df968df41920b6ff07785cbfebe8bda29e6b512c94a3b2a83d10014d2fd","Loader1 variant sample"
"hash_sha256","4c2ea8193f4a5db63b897a2d3ce127cc5d89687f380b97a1d91e0c8db542e4f8","Shellcode for Loader1 (uffhxpSy)"
"hash_sha256","e7cd605568c38bd6e0aba31045e1633205d0598c607a855e2e1bca4cca1c6eda","Loader2 variant"
"hash_sha256","078a9e5c6c787e5532a7e728720cbafee9021bfec4a30e3c2be110748d7c43c5","Shellcode for Loader2 (3yzr31vk)"
"hash_sha256","b4169a831292e245ebdffedd5820584d73b129411546e7d3eccf4663d5fc5be3","Loader3 using Microsoft Warbird (ConsoleApplication2.exe)"
"hash_sha256","7add554a98d3a99b319f2127688356c1283ed073a084805f14e33b4f6a6126fd","Shellcode for Loader3 (system)"
"hash_sha256","fcc2765305bcd213b7558025b2039df2265c3e0b6401e4833123c461df2de51a","Loader4 sample (s047t5g.exe)"
"ip","95.179.213.0","Host for update.exe download"
"domain","api.skycloudcenter.com","Chrysalis Backdoor C2"
"domain","api.wiresguard.com","Cobalt Strike Beacon C2"
"ip","61.4.102.97","Resolution for api.skycloudcenter.com (Malaysia)"
"ip","59.110.7.32","C2 IP associated with Loader 1"
"ip","124.222.137.114","C2 IP associated with Loader 2"
"ip","45.76.155.202","public"
"ip","45.32.144.255","public"
"ip","95.179.213.0","public"
"ip","45.76.155.202","public"
"domain","cdncheck.it.com","public"
"domain","safe-dns.it.com","public"
"domain","self-dns.it.com","public"
"domain","wellnessmedcare.org","public"
"domain","freefoodaid.com","public"
"ip","212.30.60.8","public"
"ip","94.190.195.237","public"
"ip","146.70.113.105","public"
"ip","194.114.136.211","public"
"ip","8.216.128.215","public"
"ip","116.251.216.119","public"
"ip","217.69.5.44","public"
"ip","188.166.199.140","public"
"ipv6","2001:19f0:6801:950:5400:5ff:feb2","public"
"ip","61.4.102.97","public"
"ip","172.233.246.7","public"
"hash_sha256","02368c6b62cb392dddd35cfc6cb8c1154f7ebdceb9fb559cefc301982d6fbbf9","public"
"hash_sha256","0dcd846cdfdc793fab39a3c9860e0f6ab68cdbdcf4b03a87e8a02df0d3e1249f","public"
"hash_sha256","5dd766a7a378c97eb8c9fe9a4bff678e3c9a05386911f4296e094407b99c23d2","public"
"hash_sha256","6a7a8aa91109c25d57fe2ca71c150ca09afc1bf10c98376adf959dbc91010394","public"
"domain","cloud.tnewstraffic.com","public"
"domain","polyfill.io","public"
"domain","t.salesmatemail.net","public"
"ip","115.231.78.10","public"
"ip","141.98.83.197","public"
"ip","37.221.65.110","public"
"ip","45.128.232.22","public"
"ip","45.142.182.123","public"
"ip","45.148.10.202","public"
"ip","45.148.10.241","public"
"ip","45.148.10.251","public"
"ip","51.159.103.10","public"
"ip","66.240.205.34","public"
"ip","77.90.42.187","public"
"ip","91.238.181.23","public"
"ip","95.214.53.134","public"
"hash_sha256","06376be53286a62da355ada731672c9a98d7bdd674c4f324330425d91a151b3b","public"
"hash_sha256","405ed2a196f7304add354a8516b3a5cea68228171cfc5280598187adc825eae3","public"
"hash_sha256","4E2ACBF5261FF8755F19DCA669AB69AA4E0362C6D2B07A4CF948B3D80B29844F","public"
"hash_sha256","4F2D5E6F2A1BEDF7E9DFDF9C7D1B5FFFA8E8BECF30A1E4EA7E044C10E1E7288A","public"
"hash_sha256","6FA9DDA2A50A4D62342E455CC4A843B30BF25E9F6BCA23329607ED1EAB36B89E","public"
"hash_sha256","7378AE3C197510B2C8ABC237CD61B9AB0FD11E49C0AECD947355F33786966660","public"
"hash_sha256","913F859CD5399A0E54329A964389ECD5CA297591E7320382F318A0F5799F4092","public"
"hash_sha256","918A9492E184AF5F2F987ED1DC482699EDCD17CB2186947861574CFA100035D6","public"
"hash_sha256","9fd720dcd4e01e82014234e0dce8ec849217d170c15e982cb3e046aa0f38d456","public"
"hash_sha256","B598E36950ED2E6B44B8DA873B0EB2E4CD839C2460DF7709D3C5A68A0A1B9A7D","public"
"hash_sha256","bb53505788aee1bbd08a9cb6ef8c9c5bd7f80ef6bad76e84dadd275c579d99a8","public"
"hash_sha256","C5250D677C435BE7C83ECEAE9598455D9CFA1D96355964790FC45B6BE817AF28","public"
"hash_sha256","e75f3bdbda3ba9366f6120671081e3973f4d86bfd44862046e54331b589f5796","public"
"hash_sha256","F4715D9809E79CD7FC729270A59EE6A12BFDA65382D93E27FF3F8B2348DFCF74","public"
"hash_sha256","f7f089f7f7753da939649fe98a4d274e44b837a61b72d022897858e1998cc7c4","public"
"hash_md5","48220a3a4c72317ae0fbb08e255b8350","IRvsIS"
"hash_md5","4cba27111c5fca7a1ae78566de2df5b3","IRvsIS"
"hash_md5","a7704fbccaeb78678a5f94714993567c","IRvsIS"
"hash_md5","aa579d5f062f02d9ff76910560bb312c","IRvsIS"
"hash_md5","f8c06e955718639ba9ffdd4265965593","IRvsIS"
"hash_sha256","0c99481dcacda99014e1eeef2e12de3db44b5db9879ce33204d3c65469e969ff","Update.msi"
